name_congressperson,pol_party,house,gender,has_twitter,twitter,num_followers,num_terms,DOB
Abílio Santana,PL,deputies,M,1,@AbilioSantana_,7040,1,2/13/1965
Acácio Favacho,PROS,deputies,M,1,@AcacioFavacho,3877,1,11/6/1966
Adolfo Viana,PSDB,deputies,M,1,@AdolfoViana_,400,1,9/28/1983
Adriana Ventura,NOVO,deputies,F,1,@adriventurasp,23900,1,2/2/1981
Adriano do Baldy,PP,deputies,M,1,@adrianodobaldy,11500,1,3/6/1969
Aécio Neves,PSDB,deputies,M,1,@AecioNeves,273000,5,9/6/1969
Afonso Florence,PT,deputies,M,1,@AfonsoFlorence,17300,3,3/10/1960
Afonso Hamm,PP,deputies,M,1,@DepAfonsoHamm,3149,5,10/15/1960
Afonso Motta,PDT,deputies,M,1,@afonso_motta,1475,3,1/8/1950
Aguinaldo Ribeiro,PP,deputies,M,1,@depaguinaldo11,3672,3,2/13/1969
Airton Faleiro,PT,deputies,M,1,@FaleiroAirton,7215,1,3/16/1959
Alan Rick,DEM,deputies,M,1,@Alan_Rick,4423,2,9/26/1983
Alceu Moreira,MDB,deputies,M,1,@Alceu_Moreira,9544,3,6/4/1954
Alê Silva,PSL,deputies,F,1,@alesilva_38,153100,1,7/4/1974
Alencar Santana Braga,PT,deputies,M,1,@AlencarBraga13,16800,1,3/14/1976
Alessandro Molon,PSB,deputies,M,1,@alessandromolon,35800,3,10/28/1971
Alex Manente,CIDADANIA,deputies,M,1,@AlexManente23,11600,2,8/22/1979
Alex Santana,PDT,deputies,M,1,@depalexsantana,572,1,6/22/1972
Alexandre Frota,PSDB,deputies,M,1,@77_frota,19500,1,10/14/1963
Alexandre Leite,DEM,deputies,M,1,@lexandreleite,3433,3,4/18/1989
Alexandre Padilha,PT,deputies,M,1,@padilhando,189200,1,9/14/1971
Alexandre Serfiotis,PSD,deputies,M,1,@AleSerfiotis,1942,2,11/29/1975
Alexis Fonteyne,NOVO,deputies,M,1,@AlexisFonteyne,29200,1,8/19/1967
Alice Portugal,PCdoB,deputies,M,1,@Alice_Portugal,28500,5,5/16/1959
Aliel Machado,PSB,deputies,M,1,@alielmachado,6475,2,2/26/1989
Aline Gurgel,REPUBLICANOS,deputies,F,1,@dep_alinegurgel,5781,1,11/25/1980
Aline Sleutjes,PSL,deputies,F,1,@AlineSleutjes,59200,1,7/26/1979
Altineu Côrtes,PL,deputies,M,1,@Altineu,2402,2,9/13/1968
Aluisio Mendes,PSC,deputies,M,1,@AluisioMendesMA,3979,2,11/11/1961
Amaro Neto,REPUBLICANOS,deputies,M,1,@amaronetotv,1298,1,12/4/1976
André Ferreira,PSC,deputies,M,1,@aferreira2020,196,1,12/10/1972
André Figueiredo,PDT,deputies,M,1,@andrepdt12,18800,4,11/10/1966
André Fufuca,PP,deputies,M,1,@DepAndreFufuca,2560,2,8/27/1989
André Janones,AVANTE,deputies,M,1,@AndreJanonesAdv,123400,1,5/5/1984
Angela Amin,PP,deputies,F,1,@DeputadaAngela,760,3,12/20/1953
Arlindo Chinaglia,PT,deputies,M,1,@achinaglia,12000,7,12/24/1949
Arnaldo Jardim,CIDADANIA,deputies,M,1,@ArnaldoJardim,7346,4,5/8/1955
Aroldo Martins,REPUBLICANOS,deputies,M,1,@aroldomartins,2694,1,7/3/1961
Arthur Lira,PP,deputies,M,1,@ArthurLira_,233400,3,6/25/1969
Arthur Oliveira Maia,DEM,deputies,M,1,@DepArthurMaia,7779,3,8/17/1964
Átila Lira,PP,deputies,M,1,@deputadoatila,1001,8,4/7/1947
Augusto Coutinho,SOLIDARIEDADE,deputies,M,1,@dep_acoutinho,3532,3,10/22/1962
Áurea Carolina,PSOL,deputies,F,1,@aureacarolinax,90700,1,11/20/1983
Aureo Ribeiro,SOLIDARIEDADE,deputies,M,1,@AureoRibeiroRJ,2044,3,2/17/1979
Bacelar,PODE,deputies,M,1,@DeputadoBacelar,10100,2,7/9/1957
Baleia Rossi,MDB,deputies,M,1,@Baleia_Rossi,38200,2,6/9/1972
Benedita da Silva,PT,deputies,F,1,@dasilvabenedita,144800,5,4/26/1942
Benes Leocádio,REPUBLICANOS,deputies,M,1,@benesleocadiorn,494,1,4/22/1966
Beto Faro,PT,deputies,M,1,@BetoFaroPT,7996,5,6/20/1969
Beto Pereira,PSDB,deputies,M,1,@betopereirams,1282,1,11/14/1977
Beto Rosado,PP,deputies,M,1,@BetoRosado,4241,2,2/1/1982
Bia Cavassa,PSDB,deputies,F,1,@BiaCavassa,865,1,1/14/1969
Bia Kicis,PSL,deputies,F,1,@Biakicis,911800,1,9/19/1961
Bibo Nunes,PSL,deputies,M,1,@bibonunes1,194000,1,1/9/1957
Bilac Pinto,DEM,deputies,M,1,@bilac_pinto,240,4,6/8/1963
Bira do Pindaré,PSB,deputies,M,1,@BiradoPindare,12900,1,11/1/1968
Boca Aberta,PROS,deputies,M,1,@BocaAbertaOf,6800,1,8/7/1971
Bohn Gass,PT,deputies,M,1,@BohnGass,56300,3,2/5/1962
Bosco Costa,PL,deputies,M,1,@BoscoCosta_SE,726,3,9/28/1950
